年份,類別,分類,縣市,名字,政黨名稱,性別,參選年齡,現任,當選註記,得票數,得票率,投票數,選舉人數,當選人數合計
2002,非直轄市,區域,臺北縣,胡光華,無,2,45,N,NA,3141,2.1,151607,374439,9
2002,非直轄市,區域,臺北縣,趙燕昭,中國國民黨,1,46,N,NA,5862,3.92,151607,374439,9
2002,非直轄市,區域,臺北縣,張宏銘,無,1,42,N,NA,5697,3.81,151607,374439,9
2002,非直轄市,區域,臺北縣,簡意鴻,臺灣慧行志工黨,2,49,N,NA,1347,0.9,151607,374439,9
2002,非直轄市,區域,臺北縣,張奇薇,新黨,2,30,N,NA,2858,1.91,151607,374439,9
2002,非直轄市,區域,臺北縣,鄭文泉,民主進步黨,1,44,N,NA,7045,4.71,151607,374439,9
2002,非直轄市,區域,臺北縣,廖裕德,無,1,51,N,*,7239,4.84,151607,374439,9
2002,非直轄市,區域,臺北縣,李雪梅,中國國民黨,2,49,N,NA,4143,2.77,151607,374439,9
2002,非直轄市,區域,臺北縣,黃俊哲,無,1,24,N,*,12795,8.55,151607,374439,9
2002,非直轄市,區域,臺北縣,黃炳煌,民主進步黨,1,48,N,NA,6747,4.51,151607,374439,9
2002,非直轄市,區域,臺北縣,王溪鬪,民主進步黨,1,49,N,NA,5128,3.43,151607,374439,9
2002,非直轄市,區域,臺北縣,黃瑞璨,無,1,49,Y,*,7730,5.17,151607,374439,9
2002,非直轄市,區域,臺北縣,吳金宗,親民黨,1,27,Y,NA,3004,2.01,151607,374439,9
2002,非直轄市,區域,臺北縣,朱欽榮,無,1,51,N,NA,118,0.08,151607,374439,9
2002,非直轄市,區域,臺北縣,蔡濬宇,無,2,53,N,NA,2089,1.4,151607,374439,9
2002,非直轄市,區域,臺北縣,李淑華,親民黨,2,34,N,*,7419,4.96,151607,374439,9
2002,非直轄市,區域,臺北縣,王淑惠,中國國民黨,2,49,Y,*,9243,6.18,151607,374439,9
2002,非直轄市,區域,臺北縣,王景源,中國國民黨,1,44,Y,*,11814,7.9,151607,374439,9
2002,非直轄市,區域,臺北縣,徐秀廷,無,1,54,Y,NA,6174,4.13,151607,374439,9
2002,非直轄市,區域,臺北縣,曾文振,無,1,50,Y,*,12801,8.56,151607,374439,9
2002,非直轄市,區域,臺北縣,郭阿美,臺灣慧行志工黨,2,52,N,NA,324,0.22,151607,374439,9
2002,非直轄市,區域,臺北縣,周勝考,中國國民黨,1,46,Y,*,11328,7.57,151607,374439,9
2002,非直轄市,區域,臺北縣,蕭貫譽,台灣團結聯盟,1,46,N,*,8831,5.9,151607,374439,9
2002,非直轄市,區域,臺北縣,麥安懷,親民黨,1,44,N,NA,6752,4.51,151607,374439,9
2002,非直轄市,區域,臺北縣,楊桂萍,中國國民黨,1,51,N,NA,6417,5.55,116953,293533,7
2002,非直轄市,區域,臺北縣,簡文劉,中國國民黨,1,53,Y,*,10270,8.88,116953,293533,7
2002,非直轄市,區域,臺北縣,林秀惠,民主進步黨,2,47,N,*,9454,8.18,116953,293533,7
2002,非直轄市,區域,臺北縣,游文煌,新黨,1,38,Y,NA,5849,5.06,116953,293533,7
2002,非直轄市,區域,臺北縣,易湘華,無,2,44,N,NA,722,0.62,116953,293533,7
2002,非直轄市,區域,臺北縣,游光照,無,1,38,N,NA,3565,3.08,116953,293533,7
2002,非直轄市,區域,臺北縣,黃政瑞,台灣團結聯盟,1,53,N,NA,4626,4,116953,293533,7
2002,非直轄市,區域,臺北縣,徐秉賢,無,1,43,N,NA,2175,1.88,116953,293533,7
2002,非直轄市,區域,臺北縣,呂宏昌,親民黨,1,49,N,NA,3523,3.05,116953,293533,7
2002,非直轄市,區域,臺北縣,游輝廷,中國國民黨,1,49,Y,*,14550,12.59,116953,293533,7
2002,非直轄市,區域,臺北縣,呂萬煜,親民黨,1,44,N,NA,6959,6.02,116953,293533,7
2002,非直轄市,區域,臺北縣,朱佩瑛,親民黨,2,44,Y,*,12530,10.84,116953,293533,7
2002,非直轄市,區域,臺北縣,張瑞山,民主進步黨,1,47,N,*,8862,7.67,116953,293533,7
2002,非直轄市,區域,臺北縣,邱垂益,中國國民黨,1,52,Y,*,12545,10.85,116953,293533,7
2002,非直轄市,區域,臺北縣,陳錦錠,中國國民黨,2,48,Y,*,13554,11.72,116953,293533,7
2002,非直轄市,區域,臺北縣,林雪琴,無,2,45,Y,NA,3919,6.37,62264,163865,4
2002,非直轄市,區域,臺北縣,劉逢雄,無,1,61,N,NA,5357,8.71,62264,163865,4
2002,非直轄市,區域,臺北縣,金介壽,親民黨,1,51,Y,*,8261,13.43,62264,163865,4
2002,非直轄市,區域,臺北縣,汪小龍,新黨,1,45,N,NA,4095,6.66,62264,163865,4
2002,非直轄市,區域,臺北縣,石筑翎,親民黨,2,60,N,NA,2955,4.8,62264,163865,4
2002,非直轄市,區域,臺北縣,吳劉貴櫻,無,2,55,N,NA,736,1.2,62264,163865,4
2002,非直轄市,區域,臺北縣,呂世喜,民主進步黨,1,34,N,*,7409,12.05,62264,163865,4
