選舉區,姓名,性別,出生年月日,推薦之政黨,抽籤號次,公職類別
臺北市松山區莊敬里,周政諭,男,055/11/05,中國國民黨,1,村里長
臺北市松山區東榮里,鄭玉梅,女,040/05/07,無,1,村里長
臺北市松山區三民里,謝翠鈴,女,043/08/12,中國國民黨,1,村里長
臺北市松山區新益里,王敏茹,女,056/08/17,無,1,村里長
臺北市松山區新益里,諸葛芬,女,046/08/24,中國國民黨,2,村里長
臺北市松山區新益里,葉美淑,女,055/01/20,無,3,村里長
臺北市松山區新益里,林寶錢,男,044/05/11,無,4,村里長
臺北市松山區富錦里,王振鴻,男,070/09/25,台灣民眾黨,1,村里長
臺北市松山區富錦里,李煥中,男,056/01/31,中國國民黨,2,村里長
臺北市松山區新東里,華國雄,男,048/05/22,中國國民黨,1,村里長
臺北市松山區富泰里,辜阿雪,女,049/03/07,無,1,村里長
臺北市松山區富泰里,吳學毅,男,049/01/01,中國國民黨,2,村里長
臺北市松山區介壽里,林玉琴,女,041/09/17,無,1,村里長
臺北市松山區介壽里,蔡錦文,男,036/08/14,無,2,村里長
臺北市松山區精忠里,黃曉雄,男,058/08/28,無,1,村里長
臺北市松山區精忠里,賴美旭,女,059/10/26,中國國民黨,2,村里長
臺北市松山區東光里,洪弘利,男,056/11/25,無,1,村里長
臺北市松山區東光里,許秀雲,女,039/10/10,中國國民黨,2,村里長
臺北市松山區龍田里,袁俊麒,男,041/08/28,中國國民黨,1,村里長
臺北市松山區龍田里,黃淑芬,女,053/07/03,無,2,村里長
臺北市松山區東昌里,陳志明,男,050/04/08,中國國民黨,1,村里長
臺北市松山區東勢里,王叔珍,女,046/08/10,無,1,村里長
臺北市松山區中華里,游吉興,男,056/11/27,中國國民黨,1,村里長
臺北市松山區民有里,林國瑞,男,041/05/25,無,1,村里長
臺北市松山區民有里,余國安,男,051/09/24,無,2,村里長
臺北市松山區民有里,周宇軒,男,084/04/17,中國國民黨,3,村里長
臺北市松山區民有里,黃明德,男,061/07/25,民主進步黨,4,村里長
臺北市松山區民福里,古瑞珍,女,045/03/01,中國國民黨,1,村里長
臺北市松山區民福里,李大強,男,044/12/30,無,2,村里長
臺北市松山區民福里,李麗容,女,055/02/05,無,3,村里長
臺北市松山區慈祐里,李祖民,男,054/11/15,無,1,村里長
臺北市松山區安平里,蕭素玲,女,048/12/21,中華文化復興在理黨,1,村里長
臺北市松山區安平里,洪温滿,男,046/02/01,無,2,村里長
臺北市松山區鵬程里,洪豊凱,男,056/05/10,無,1,村里長
臺北市松山區鵬程里,許顏建,男,049/11/02,中國國民黨,2,村里長
臺北市松山區自強里,李台華,男,039/11/18,中國國民黨,1,村里長
臺北市松山區吉祥里,陳永昌,男,035/05/16,中國國民黨,1,村里長
臺北市松山區新聚里,黃治嘉,男,076/03/19,無,1,村里長
臺北市松山區新聚里,郭秀鳳,女,043/11/26,中國國民黨,2,村里長
臺北市松山區復盛里,張晉維,男,072/09/28,無,1,村里長
臺北市松山區復盛里,王正雄,男,038/02/21,中國國民黨,2,村里長
臺北市松山區中正里,洪樸陽,男,047/01/27,無,1,村里長
臺北市松山區中崙里,林千又,女,084/03/15,無,1,村里長
臺北市松山區中崙里,張陳碧雲,女,031/12/08,中國國民黨,2,村里長
臺北市松山區美仁里,林志創,男,052/04/17,中國國民黨,1,村里長
臺北市松山區吉仁里,李全長,男,052/03/26,無,1,村里長
臺北市松山區敦化里,江松清,男,035/09/28,無,1,村里長
臺北市松山區敦化里,邵耀德,男,044/11/15,無,2,村里長
臺北市松山區敦化里,蘇榮文,男,047/08/26,中國國民黨,3,村里長
臺北市松山區復源里,温福義,男,046/06/20,中國國民黨,1,村里長
臺北市松山區復建里,林坤信,男,035/05/31,中國國民黨,1,村里長
臺北市松山區復建里,汪得貴,男,051/01/18,無,2,村里長
臺北市松山區復勢里,徐麗雲,女,046/12/13,中國國民黨,1,村里長
臺北市松山區福成里,葉佐良,男,037/10/18,中國國民黨,1,村里長
臺北市松山區福成里,林順松,男,043/06/16,無,2,村里長
臺北市松山區松基里,黃建賓,男,059/05/01,無,1,村里長
臺北市松山區松基里,李坤霖,男,057/04/12,無,2,村里長
臺北市信義區西村里,馬念慈,男,040/10/01,中國國民黨,1,村里長
臺北市信義區西村里,盧珍,女,041/01/05,無,2,村里長
臺北市信義區正和里,尹俊富,男,040/11/08,中國國民黨,1,村里長
臺北市信義區正和里,董玲娥,女,051/08/19,無,2,村里長
臺北市信義區興隆里,吉娃斯‧吉果,女,050/03/12,中國國民黨,1,村里長
臺北市信義區興隆里,凌麗美,女,056/06/06,中國國民黨,2,村里長
臺北市信義區中興里,趙惠美,女,051/05/05,中國國民黨,1,村里長
臺北市信義區中興里,吳孟環,女,044/08/10,無,2,村里長
臺北市信義區新仁里,陳台林,男,040/10/05,無,1,村里長
臺北市信義區新仁里,吳建德,男,062/11/28,無,2,村里長
臺北市信義區興雅里,馬強,男,052/01/15,無,1,村里長
臺北市信義區興雅里,林素琴,女,041/07/23,中國國民黨,2,村里長
臺北市信義區敦厚里,方聰杰,男,052/09/24,中國國民黨,1,村里長
臺北市信義區廣居里,楊玉堂,男,049/10/22,中國國民黨,1,村里長
臺北市信義區安康里,吳姵潔,女,063/06/10,無,1,村里長
臺北市信義區安康里,萬宇恆,男,069/10/11,中國國民黨,2,村里長
臺北市信義區安康里,張采明,女,054/03/20,經濟黨,3,村里長
臺北市信義區安康里,楊嘉能,男,041/06/12,無,4,村里長
臺北市信義區六藝里,丁禾溱,女,048/04/27,中國國民黨,1,村里長
臺北市信義區雅祥里,宋美玲,女,055/03/12,無,1,村里長
臺北市信義區雅祥里,林信介,男,065/03/16,民主進步黨,2,村里長
臺北市信義區雅祥里,高添喜,男,038/11/01,中國國民黨,3,村里長
臺北市信義區五常里,黃河村,男,039/12/20,中國國民黨,1,村里長
臺北市信義區五常里,陳勇誠,男,046/02/22,無,2,村里長
臺北市信義區五常里,游育靖,女,073/09/22,無,3,村里長
臺北市信義區五全里,吳秀好,女,041/04/15,民主進步黨,1,村里長
臺北市信義區五全里,李英豪,男,064/10/21,無,2,村里長
臺北市信義區永吉里,陳永昌,男,040/11/10,中國國民黨,1,村里長
臺北市信義區長春里,潘厚勳,男,070/04/16,民主進步黨,1,村里長
臺北市信義區長春里,許錦忠,男,046/04/28,無,2,村里長
臺北市信義區四育里,施永泉,男,045/08/08,無,1,村里長
臺北市信義區四育里,莊芊華,女,055/05/10,無,2,村里長
臺北市信義區四育里,連圀堂,男,046/04/15,中國國民黨,3,村里長
臺北市信義區四維里,劉耀平,男,059/08/16,中國國民黨,1,村里長
臺北市信義區永春里,許蕙蘭,女,054/12/19,中國國民黨,1,村里長
臺北市信義區永春里,顏東隆,男,040/01/07,無,2,村里長
臺北市信義區富台里,陳國華,男,042/03/07,中國國民黨,1,村里長
臺北市信義區富台里,羅至佑,男,073/11/26,無,2,村里長
臺北市信義區國業里,林銘賢,男,051/10/05,無,1,村里長
臺北市信義區國業里,張雲娥,女,050/09/24,中國國民黨,2,村里長
臺北市信義區松隆里,黃俊龍,男,034/03/15,中國國民黨,1,村里長
臺北市信義區松友里,張海秋,男,043/12/16,無,1,村里長
臺北市信義區松友里,林玉華,女,043/12/05,無,2,村里長
臺北市信義區松光里,劉宗益,男,056/04/17,無,1,村里長
臺北市信義區松光里,蔡福來,男,046/07/24,無,2,村里長
臺北市信義區松光里,賴秀絨,女,050/02/02,無,3,村里長
臺北市信義區中坡里,曾傳達,男,036/10/10,中國國民黨,1,村里長
臺北市信義區中坡里,顏蜜,女,047/10/22,無,2,村里長
臺北市信義區中行里,黃銓政,男,039/05/17,中國國民黨,1,村里長
臺北市信義區中行里,林美君,女,068/10/27,無,2,村里長
臺北市信義區大道里,高永峯,男,052/05/29,無,1,村里長
臺北市信義區大道里,毛水月,女,055/01/12,無,2,村里長
臺北市信義區大仁里,蔡桂清,男,045/04/24,無,1,村里長
臺北市信義區景新里,楊瑞璋,男,074/01/24,中國國民黨,1,村里長
臺北市信義區景新里,孫積德,男,073/07/05,無,2,村里長
臺北市信義區景新里,張裕欣,男,065/09/18,無,3,村里長
臺北市信義區景新里,張智翔,男,074/01/20,無,4,村里長
臺北市信義區惠安里,虞閎立,男,060/09/13,無,1,村里長
臺北市信義區惠安里,周葉長,男,051/01/04,中國國民黨,2,村里長
臺北市信義區三張里,李伯壽,男,036/02/16,中國國民黨,1,村里長
臺北市信義區三張里,盧美玲,女,057/10/22,無,2,村里長
臺北市信義區三犁里,翁信利,男,048/03/05,無,1,村里長
臺北市信義區六合里,陳盈如,女,072/03/02,無,1,村里長
臺北市信義區六合里,蕭振中,男,054/08/30,中國國民黨,2,村里長
臺北市信義區泰和里,鄒宗平,男,048/08/14,無,1,村里長
臺北市信義區泰和里,連婉彤,女,078/06/02,無,2,村里長
臺北市信義區泰和里,蔡靜怡,女,065/08/18,無,3,村里長
臺北市信義區泰和里,林正義,男,052/07/06,中國國民黨,4,村里長
臺北市信義區景聯里,洪福周,男,038/08/01,中國國民黨,1,村里長
臺北市信義區景勤里,王雷凱,男,077/11/28,中國國民黨,1,村里長
臺北市信義區雙和里,周金進,男,048/03/20,無,1,村里長
臺北市信義區雙和里,宋祥輝,男,042/02/15,中國國民黨,2,村里長
臺北市信義區嘉興里,李錫榮,男,044/02/27,無,1,村里長
臺北市信義區嘉興里,鄭智耀,男,062/04/10,無,2,村里長
臺北市信義區黎順里,吳明耀,男,050/09/09,無,1,村里長
臺北市信義區黎順里,鄭振榮,男,057/08/20,無,2,村里長
臺北市信義區黎順里,許翔原,男,073/01/07,無,3,村里長
臺北市信義區黎順里,卓秀娟,女,044/03/14,中國國民黨,4,村里長
臺北市信義區黎順里,潘還珠,女,051/10/01,無,5,村里長
臺北市信義區黎平里,楊介舟,男,055/06/05,中國國民黨,1,村里長
臺北市信義區黎忠里,陳煥文,男,058/08/06,無,1,村里長
臺北市信義區黎忠里,林金坤,男,050/01/06,無,2,村里長
臺北市信義區黎忠里,孫壽廷,男,052/02/09,無,3,村里長
臺北市信義區黎忠里,黃建智,男,085/10/07,中國國民黨,4,村里長
臺北市信義區黎安里,劉梅菊,女,049/05/22,中國國民黨,1,村里長
臺北市信義區黎安里,張智凱,男,065/05/10,無,2,村里長
臺北市大安區德安里,蔡銘宗,男,039/06/10,中國國民黨,1,村里長
臺北市大安區仁慈里,楊俊彥,男,071/04/13,無,1,村里長
臺北市大安區仁慈里,陳麒中,男,057/11/28,中國國民黨,2,村里長
臺北市大安區和安里,翁德東,男,047/10/11,無,1,村里長
臺北市大安區民炤里,周暉泰,男,067/04/21,中國國民黨,1,村里長
臺北市大安區民炤里,陳勤功,男,046/06/04,無,2,村里長
臺北市大安區仁愛里,楊禧瑜,女,059/01/17,無,1,村里長
臺北市大安區仁愛里,林宜蓁,女,053/01/31,中國國民黨,2,村里長
臺北市大安區仁愛里,吳蕙君,女,047/09/29,無,3,村里長
臺北市大安區仁愛里,朱東文,男,045/09/05,無,4,村里長
臺北市大安區義村里,潘明勲,男,041/01/07,中國國民黨,1,村里長
臺北市大安區義村里,陳雅娟,女,052/10/17,無,2,村里長
臺北市大安區義村里,席蕊婷,女,081/04/15,無,3,村里長
臺北市大安區民輝里,陳威禎,男,053/08/24,無,1,村里長
臺北市大安區民輝里,陳桓浩,男,036/04/05,無,2,村里長
臺北市大安區昌隆里,王志剛,男,055/09/05,中國國民黨,1,村里長
臺北市大安區誠安里,李有福,男,046/10/25,無,1,村里長
臺北市大安區光武里,韓修和,男,065/07/26,無,1,村里長
臺北市大安區龍坡里,黃世詮,男,057/04/17,中國國民黨,1,村里長
臺北市大安區龍泉里,龎維良,男,063/12/25,無,1,村里長
臺北市大安區古風里,彭仁鈺,男,054/03/22,無,1,村里長
臺北市大安區古風里,孔憲娟,女,050/01/20,中國國民黨,2,村里長
臺北市大安區古莊里,劉泓麟,男,059/12/31,中國國民黨,1,村里長
臺北市大安區古莊里,吳宗雄,男,051/03/01,無,2,村里長
臺北市大安區龍安里,洪秋甲,男,045/09/22,中國國民黨,1,村里長
臺北市大安區錦安里,龔志慧,女,044/05/05,中國國民黨,1,村里長
臺北市大安區錦安里,黃志焜,男,053/09/01,無,2,村里長
臺北市大安區福住里,李欣芠,女,043/10/10,無,1,村里長
臺北市大安區永康里,劉大薇,女,067/08/09,無,1,村里長
臺北市大安區永康里,徐玉雄,男,057/02/18,無,2,村里長
臺北市大安區永康里,顏意珍,男,067/06/07,無,3,村里長
臺北市大安區永康里,李明螢,女,049/10/10,中國國民黨,4,村里長
臺北市大安區光明里,張美霞,女,051/08/03,無,1,村里長
臺北市大安區光明里,張惠銓,男,035/11/29,中國國民黨,2,村里長
