選舉區,姓名,性別,參選年齡,推薦之政黨,抽籤號次,公職類別
臺北市第1選舉區,林延鳳,女,40,民主進步黨,1,直轄市議員
臺北市第1選舉區,陳賢蔚,男,45,民主進步黨,2,直轄市議員
臺北市第1選舉區,李光輝,男,60,無,3,直轄市議員
臺北市第1選舉區,林杏兒,女,41,中國國民黨,4,直轄市議員
臺北市第1選舉區,汪志冰,女,65,中國國民黨,5,直轄市議員
臺北市第1選舉區,林世宗,男,63,民主進步黨,6,直轄市議員
臺北市第1選舉區,陳重文,男,45,中國國民黨,7,直轄市議員
臺北市第1選舉區,劉仕傑,男,42,時代力量,8,直轄市議員
臺北市第1選舉區,陳慈慧,女,39,民主進步黨,9,直轄市議員
臺北市第1選舉區,鍾佩玲,女,43,民主進步黨,10,直轄市議員
臺北市第1選舉區,侯漢廷,男,34,新黨,11,直轄市議員
臺北市第1選舉區,郝淑薏,女,52,無,12,直轄市議員
臺北市第1選舉區,黃瀞瑩,女,30,台灣民眾黨,13,直轄市議員
臺北市第1選舉區,林瑞圖,男,66,無,14,直轄市議員
臺北市第1選舉區,陳思宇,女,36,台灣民眾黨,15,直轄市議員
臺北市第1選舉區,張渝江,男,50,無,16,直轄市議員
臺北市第1選舉區,林志穎,男,41,無,17,直轄市議員
臺北市第1選舉區,鄭穎隆,男,49,共和黨,18,直轄市議員
臺北市第1選舉區,王郁揚,男,36,金色力量黨,19,直轄市議員
臺北市第1選舉區,張斯綱,男,51,中國國民黨,20,直轄市議員
臺北市第1選舉區,蘇府庭,男,64,無,21,直轄市議員
臺北市第1選舉區,黃郁芬,女,32,無,22,直轄市議員
臺北市第1選舉區,楊靜宇,男,61,無,23,直轄市議員
臺北市第1選舉區,項豪,男,41,中國國家社會主義勞工黨,24,直轄市議員
臺北市第1選舉區,陳政忠,男,67,無,25,直轄市議員
臺北市第2選舉區,陳志明,男,46,時代力量,1,直轄市議員
臺北市第2選舉區,劉榮之,男,45,新黨,2,直轄市議員
臺北市第2選舉區,江志銘,男,60,民主進步黨,3,直轄市議員
臺北市第2選舉區,李明賢,男,49,中國國民黨,4,直轄市議員
臺北市第2選舉區,吳世正,男,59,中國國民黨,5,直轄市議員
臺北市第2選舉區,王孝維,男,61,民主進步黨,6,直轄市議員
臺北市第2選舉區,陳宥丞,男,36,台灣民眾黨,7,直轄市議員
臺北市第2選舉區,何孟樺,女,33,民主進步黨,8,直轄市議員
臺北市第2選舉區,吳欣岱,女,35,台灣基進,9,直轄市議員
臺北市第2選舉區,李建昌,男,60,民主進步黨,10,直轄市議員
臺北市第2選舉區,闕枚莎,女,50,中國國民黨,11,直轄市議員
臺北市第2選舉區,游淑慧,女,46,中國國民黨,12,直轄市議員
臺北市第2選舉區,李彥秀,女,51,中國國民黨,13,直轄市議員
臺北市第3選舉區,郭榮先,男,43,新黨,1,直轄市議員
臺北市第3選舉區,張文潔,女,38,民主進步黨,2,直轄市議員
臺北市第3選舉區,許家蓓,女,45,民主進步黨,3,直轄市議員
臺北市第3選舉區,吳蕚洋,男,62,無,4,直轄市議員
臺北市第3選舉區,林柏勛,男,39,時代力量,5,直轄市議員
臺北市第3選舉區,楊寶楨,女,33,台灣民眾黨,6,直轄市議員
臺北市第3選舉區,洪士奇,男,60,無,7,直轄市議員
臺北市第3選舉區,秦慧珠,女,67,中國國民黨,8,直轄市議員
臺北市第3選舉區,詹為元,男,39,中國國民黨,9,直轄市議員
臺北市第3選舉區,高毓安,男,29,無,10,直轄市議員
臺北市第3選舉區,徐巧芯,女,33,中國國民黨,11,直轄市議員
臺北市第3選舉區,戴錫欽,男,56,中國國民黨,12,直轄市議員
臺北市第3選舉區,許淑華,女,49,民主進步黨,13,直轄市議員
臺北市第3選舉區,王鴻薇,女,58,中國國民黨,14,直轄市議員
臺北市第3選舉區,吳崢,男,33,無,15,直轄市議員
臺北市第3選舉區,洪健益,男,52,民主進步黨,16,直轄市議員
臺北市第4選舉區,陳怡君,女,43,民主進步黨,1,直轄市議員
臺北市第4選舉區,高世俊,男,36,中國國民黨,2,直轄市議員
臺北市第4選舉區,林婕麗,女,56,新黨,3,直轄市議員
臺北市第4選舉區,林亮君,女,33,無,4,直轄市議員
臺北市第4選舉區,陳炳甫,男,51,中國國民黨,5,直轄市議員
臺北市第4選舉區,王世堅,男,62,民主進步黨,6,直轄市議員
臺北市第4選舉區,連紹傑,男,37,小民參政歐巴桑聯盟,7,直轄市議員
臺北市第4選舉區,柳采葳,女,32,中國國民黨,8,直轄市議員
臺北市第4選舉區,葉林傳,男,53,中國國民黨,9,直轄市議員
臺北市第4選舉區,顏若芳,女,37,民主進步黨,10,直轄市議員
臺北市第4選舉區,徐千淳,女,36,時代力量,11,直轄市議員
臺北市第4選舉區,梁文傑,男,51,民主進步黨,12,直轄市議員
臺北市第4選舉區,林珍羽,女,35,台灣民眾黨,13,直轄市議員
臺北市第5選舉區,劉耀仁,男,54,民主進步黨,1,直轄市議員
臺北市第5選舉區,郭智亭,男,42,無,2,直轄市議員
臺北市第5選舉區,鍾小平,男,60,中國國民黨,3,直轄市議員
臺北市第5選舉區,吳沛憶,女,35,民主進步黨,4,直轄市議員
臺北市第5選舉區,徐立信,男,47,無,5,直轄市議員
臺北市第5選舉區,吳志剛,男,51,中國國民黨,6,直轄市議員
臺北市第5選舉區,曾琳詒,女,31,台灣動物保護黨,7,直轄市議員
臺北市第5選舉區,吳怡萱,女,33,台灣民眾黨,8,直轄市議員
臺北市第5選舉區,邵維倫,男,40,民主進步黨,9,直轄市議員
臺北市第5選舉區,李有宜,女,32,無,10,直轄市議員
臺北市第5選舉區,張榮法,男,50,新黨,11,直轄市議員
臺北市第5選舉區,應曉薇,女,58,中國國民黨,12,直轄市議員
臺北市第5選舉區,李菁琪,女,34,綠黨,13,直轄市議員
臺北市第5選舉區,王麒傑,男,32,無,14,直轄市議員
臺北市第5選舉區,陳樹霖,男,70,無,15,直轄市議員
臺北市第5選舉區,郭昭巖,女,53,中國國民黨,16,直轄市議員
臺北市第5選舉區,洪婉臻,女,39,民主進步黨,17,直轄市議員
臺北市第5選舉區,呂增塔,男,58,無,18,直轄市議員
臺北市第6選舉區,張幸松,男,64,台灣民眾黨,1,直轄市議員
臺北市第6選舉區,張四維,男,68,無,2,直轄市議員
臺北市第6選舉區,林泓泰,男,32,時代力量,3,直轄市議員
臺北市第6選舉區,曾獻瑩,男,46,無,4,直轄市議員
臺北市第6選舉區,王閔生,男,47,民主進步黨,5,直轄市議員
臺北市第6選舉區,華珮君,女,34,台灣動物保護黨,6,直轄市議員
臺北市第6選舉區,鄭淑娟,女,43,無,7,直轄市議員
臺北市第6選舉區,詹晉鑒,男,40,民主進步黨,8,直轄市議員
臺北市第6選舉區,高揚凱,男,38,中國國民黨,9,直轄市議員
臺北市第6選舉區,李柏毅,男,41,中國國民黨,10,直轄市議員
臺北市第6選舉區,蘇恆,女,37,無,11,直轄市議員
臺北市第6選舉區,林岳龍,男,41,新黨,12,直轄市議員
臺北市第6選舉區,趙怡翔,男,34,民主進步黨,13,直轄市議員
臺北市第6選舉區,張志豪,男,50,台灣民眾黨,14,直轄市議員
臺北市第6選舉區,鍾沛君,女,38,中國國民黨,15,直轄市議員
臺北市第6選舉區,徐正文,男,56,無,16,直轄市議員
臺北市第6選舉區,徐弘庭,男,40,中國國民黨,17,直轄市議員
臺北市第6選舉區,王欣儀,女,52,中國國民黨,18,直轄市議員
臺北市第6選舉區,苗博雅,女,35,社會民主黨,19,直轄市議員
臺北市第6選舉區,陳錦祥,男,63,中國國民黨,20,直轄市議員
臺北市第6選舉區,林穎孟,女,39,無,21,直轄市議員
臺北市第6選舉區,簡舒培,女,45,民主進步黨,22,直轄市議員
臺北市第6選舉區,林元敏,男,47,無,23,直轄市議員
臺北市第6選舉區,鄭建炘,男,47,臺灣人民共產黨,24,直轄市議員
臺北市第6選舉區,耿葳,女,32,中國國民黨,25,直轄市議員
臺北市第6選舉區,楊植斗,男,30,中國國民黨,26,直轄市議員
臺北市第6選舉區,陳聖文,男,24,民主進步黨,27,直轄市議員
臺北市第7選舉區,吳郁瑾 Sawmah Kawlo,女,38,民主進步黨,1,直轄市議員
臺北市第7選舉區,李芳儒,男,53,中國國民黨,2,直轄市議員
臺北市第8選舉區,李傅中武,男,49,中國國民黨,1,直轄市議員
臺北市第8選舉區,陳慧君 Mulas．Ismahasan,女,37,民主進步黨,2,直轄市議員
臺北市第8選舉區,高為人Sayun Watan,女,31,無,3,直轄市議員
新北市第1選舉區,鄭宇恩,女,36,民主進步黨,1,直轄市議員
新北市第1選舉區,陳偉杰,男,44,中國國民黨,2,直轄市議員
新北市第1選舉區,彭莉惠,女,46,民主進步黨,3,直轄市議員
新北市第1選舉區,陳靜儀,女,54,台灣民眾黨,4,直轄市議員
