公職類別,prvCode,cityCode,deptCode,選舉區,抽籤號次,姓名,性別,參選年齡,推薦之政黨
直轄市長,63,000,000,臺北市,1,張家豪,男,37,台灣動物保護黨
直轄市長,63,000,000,臺北市,2,王文娟,女,59,無
直轄市長,63,000,000,臺北市,3,鄭匡宇,男,46,無
直轄市長,63,000,000,臺北市,4,黃聖峰,男,43,台澎黨
直轄市長,63,000,000,臺北市,5,童文薰,女,57,無
直轄市長,63,000,000,臺北市,6,蔣萬安,男,44,中國國民黨
直轄市長,63,000,000,臺北市,7,蘇煥智,男,66,台灣維新
直轄市長,63,000,000,臺北市,8,黃珊珊,女,53,無
直轄市長,63,000,000,臺北市,9,施奉先,男,64,無
直轄市長,63,000,000,臺北市,10,唐新民,男,72,共和黨
直轄市長,63,000,000,臺北市,11,謝立康,男,52,無
直轄市長,63,000,000,臺北市,12,陳時中,男,70,民主進步黨
直轄市長,65,000,000,新北市,1,林佳龍,男,58,民主進步黨
直轄市長,65,000,000,新北市,2,侯友宜,男,65,中國國民黨
直轄市長,68,000,000,桃園市,1,張善政,男,68,中國國民黨
直轄市長,68,000,000,桃園市,2,賴香伶,女,54,台灣民眾黨
直轄市長,68,000,000,桃園市,3,鄭運鵬,男,49,民主進步黨
直轄市長,68,000,000,桃園市,4,鄭寶清,男,67,無
直轄市長,66,000,000,臺中市,1,陳美妃,女,51,無
直轄市長,66,000,000,臺中市,2,蔡其昌,男,53,民主進步黨
直轄市長,66,000,000,臺中市,3,盧秀燕,女,61,中國國民黨
直轄市長,67,000,000,臺南市,1,許忠信,男,57,無
直轄市長,67,000,000,臺南市,2,林義豐,男,74,無
直轄市長,67,000,000,臺南市,3,謝龍介,男,61,中國國民黨
直轄市長,67,000,000,臺南市,4,吳炳輝,男,55,無
直轄市長,67,000,000,臺南市,5,黃偉哲,男,59,民主進步黨
直轄市長,64,000,000,高雄市,1,鄭宇翔,男,41,無
直轄市長,64,000,000,高雄市,2,曾尹儷,女,59,無
直轄市長,64,000,000,高雄市,3,柯志恩,女,60,中國國民黨
直轄市長,64,000,000,高雄市,4,陳其邁,男,58,民主進步黨
縣市長,10,004,000,新竹縣,1,黃秀龍,男,62,無
縣市長,10,004,000,新竹縣,2,范振揆,男,51,無
縣市長,10,004,000,新竹縣,3,周江杰,男,42,民主進步黨
縣市長,10,004,000,新竹縣,4,楊文科,男,71,中國國民黨
縣市長,10,004,000,新竹縣,5,劉復嵐,男,48,無
縣市長,10,005,000,苗栗縣,1,鍾東錦,男,59,無
縣市長,10,005,000,苗栗縣,2,謝福弘,男,66,中國國民黨
縣市長,10,005,000,苗栗縣,3,吳盛聖,男,43,無
縣市長,10,005,000,苗栗縣,4,徐定禎,男,61,民主進步黨
縣市長,10,005,000,苗栗縣,5,宋國鼎,男,41,時代力量
縣市長,10,007,000,彰化縣,1,王惠美,女,54,中國國民黨
縣市長,10,007,000,彰化縣,2,黃秀芳,女,51,民主進步黨
縣市長,10,007,000,彰化縣,3,蕭仁正,男,69,無
縣市長,10,008,000,南投縣,1,蔡培慧,女,51,民主進步黨
縣市長,10,008,000,南投縣,2,許淑華,女,47,中國國民黨
縣市長,10,008,000,南投縣,3,王永慶,男,60,無
縣市長,10,009,000,雲林縣,1,張麗善,女,58,中國國民黨
縣市長,10,009,000,雲林縣,2,劉建國,男,53,民主進步黨
縣市長,10,009,000,雲林縣,3,林佳瑜,男,63,無
縣市長,10,010,000,嘉義縣,1,王育敏,女,51,中國國民黨
縣市長,10,010,000,嘉義縣,2,翁章梁,男,57,民主進步黨
縣市長,10,013,000,屏東縣,1,詹智鈞,男,46,時代力量
縣市長,10,013,000,屏東縣,2,蘇清泉,男,65,中國國民黨
縣市長,10,013,000,屏東縣,3,周春米,女,56,民主進步黨
縣市長,10,002,000,宜蘭縣,1,林姿妙,女,70,中國國民黨
縣市長,10,002,000,宜蘭縣,2,朱振東,男,69,天一黨
縣市長,10,002,000,宜蘭縣,3,許鋐哲,男,73,無
縣市長,10,002,000,宜蘭縣,4,陳秋境,男,59,無
縣市長,10,002,000,宜蘭縣,5,江淵,男,53,民主進步黨
縣市長,10,002,000,宜蘭縣,6,陳琬惠,女,48,台灣民眾黨
縣市長,10,015,000,花蓮縣,1,徐榛蔚,女,54,中國國民黨
縣市長,10,015,000,花蓮縣,2,黄師鵬,男,65,無
縣市長,10,015,000,花蓮縣,3,谷辣斯．尤達卡 Kolas Yotaka,女,48,民主進步黨
縣市長,10,014,000,臺東縣,1,陳長宏,男,57,無
縣市長,10,014,000,臺東縣,2,饒慶鈴,女,53,中國國民黨
縣市長,10,014,000,臺東縣,3,劉櫂豪,男,55,民主進步黨
縣市長,10,016,000,澎湖縣,1,陳光復,男,67,民主進步黨
縣市長,10,016,000,澎湖縣,2,賴峰偉,男,69,中國國民黨
縣市長,10,016,000,澎湖縣,3,葉竹林,男,60,無
縣市長,09,020,000,金門縣,1,李應文,男,43,無
縣市長,09,020,000,金門縣,2,朱紀瑋,男,61,龍黨
縣市長,09,020,000,金門縣,3,林志錦,男,50,無
縣市長,09,020,000,金門縣,4,楊鎮浯,男,50,中國國民黨
縣市長,09,020,000,金門縣,5,陳福海,男,59,無
縣市長,09,020,000,金門縣,6,洪志恒,男,54,無
縣市長,09,007,000,連江縣,1,李問,男,33,民主進步黨
縣市長,09,007,000,連江縣,2,曹爾元,男,64,中國國民黨
縣市長,09,007,000,連江縣,3,王忠銘,男,64,中國國民黨
縣市長,10,017,000,基隆市,1,謝國樑,男,47,中國國民黨
縣市長,10,017,000,基隆市,2,陳薇仲,女,32,時代力量
縣市長,10,017,000,基隆市,3,蔡適應,男,49,民主進步黨
縣市長,10,017,000,基隆市,4,曾國民,男,60,無
縣市長,10,017,000,基隆市,5,黃希賢,男,57,無
縣市長,10,018,000,新竹市,1,黃源甫,男,68,無
縣市長,10,018,000,新竹市,2,龔偉綸,男,40,無
縣市長,10,018,000,新竹市,3,林耕仁,男,62,中國國民黨
縣市長,10,018,000,新竹市,4,李驥羣,男,66,無
縣市長,10,018,000,新竹市,5,沈慧虹,女,55,民主進步黨
縣市長,10,018,000,新竹市,6,高虹安,女,38,台灣民眾黨
