公職類別,prvCode,cityCode,deptCode,liCode,縣市,鄉鎮市區,村里,抽籤號次,姓名,性別,參選年齡,推薦之政黨
村里長,63,000,010,002,臺北市,松山區,莊敬里,1,周政諭,男,56,中國國民黨
村里長,63,000,010,003,臺北市,松山區,東榮里,1,鄭玉梅,女,71,無
村里長,63,000,010,004,臺北市,松山區,三民里,1,謝翠鈴,女,68,中國國民黨
村里長,63,000,010,005,臺北市,松山區,新益里,1,王敏茹,女,55,無
村里長,63,000,010,005,臺北市,松山區,新益里,2,諸葛芬,女,65,中國國民黨
村里長,63,000,010,005,臺北市,松山區,新益里,3,葉美淑,女,56,無
村里長,63,000,010,005,臺北市,松山區,新益里,4,林寶錢,男,67,無
村里長,63,000,010,006,臺北市,松山區,富錦里,1,王振鴻,男,41,台灣民眾黨
村里長,63,000,010,006,臺北市,松山區,富錦里,2,李煥中,男,55,中國國民黨
村里長,63,000,010,007,臺北市,松山區,新東里,1,華國雄,男,63,中國國民黨
村里長,63,000,010,008,臺北市,松山區,富泰里,1,辜阿雪,女,62,無
村里長,63,000,010,008,臺北市,松山區,富泰里,2,吳學毅,男,62,中國國民黨
村里長,63,000,010,009,臺北市,松山區,介壽里,1,林玉琴,女,70,無
村里長,63,000,010,009,臺北市,松山區,介壽里,2,蔡錦文,男,75,無
村里長,63,000,010,010,臺北市,松山區,精忠里,1,黃曉雄,男,53,無
村里長,63,000,010,010,臺北市,松山區,精忠里,2,賴美旭,女,52,中國國民黨
村里長,63,000,010,011,臺北市,松山區,東光里,1,洪弘利,男,55,無
村里長,63,000,010,011,臺北市,松山區,東光里,2,許秀雲,女,72,中國國民黨
村里長,63,000,010,012,臺北市,松山區,龍田里,1,袁俊麒,男,70,中國國民黨
村里長,63,000,010,012,臺北市,松山區,龍田里,2,黃淑芬,女,58,無
村里長,63,000,010,013,臺北市,松山區,東昌里,1,陳志明,男,61,中國國民黨
村里長,63,000,010,014,臺北市,松山區,東勢里,1,王叔珍,女,65,無
村里長,63,000,010,015,臺北市,松山區,中華里,1,游吉興,男,55,中國國民黨
村里長,63,000,010,016,臺北市,松山區,民有里,1,林國瑞,男,70,無
村里長,63,000,010,016,臺北市,松山區,民有里,2,余國安,男,60,無
村里長,63,000,010,016,臺北市,松山區,民有里,3,周宇軒,男,27,中國國民黨
村里長,63,000,010,016,臺北市,松山區,民有里,4,黃明德,男,50,民主進步黨
村里長,63,000,010,017,臺北市,松山區,民福里,1,古瑞珍,女,66,中國國民黨
村里長,63,000,010,017,臺北市,松山區,民福里,2,李大強,男,67,無
