prvCode,cityCode,areaCode,deptCode,liCode,COUNTYNAME,TOWNNAME,VILLNAME
09,007,NA,000,NA,連江縣,NA,NA
09,007,01,010,001,連江縣,南竿鄉,介壽村
09,007,01,010,002,連江縣,南竿鄉,復興村
09,007,01,010,003,連江縣,南竿鄉,福沃村
09,007,01,010,004,連江縣,南竿鄉,清水村
09,007,01,010,005,連江縣,南竿鄉,仁愛村
09,007,01,010,006,連江縣,南竿鄉,津沙村
09,007,01,010,007,連江縣,南竿鄉,馬祖村
09,007,01,010,008,連江縣,南竿鄉,珠螺村
09,007,01,010,009,連江縣,南竿鄉,四維村
09,007,02,020,001,連江縣,北竿鄉,塘岐村
09,007,02,020,002,連江縣,北竿鄉,后沃村
09,007,02,020,003,連江縣,北竿鄉,橋仔村
09,007,02,020,004,連江縣,北竿鄉,芹壁村
09,007,02,020,005,連江縣,北竿鄉,坂里村
09,007,02,020,006,連江縣,北竿鄉,白沙村
09,007,03,030,001,連江縣,莒光鄉,青帆村
09,007,03,030,002,連江縣,莒光鄉,田沃村
09,007,03,030,003,連江縣,莒光鄉,西坵村
09,007,03,030,004,連江縣,莒光鄉,福正村
09,007,03,030,005,連江縣,莒光鄉,大坪村
09,007,04,040,001,連江縣,東引鄉,中柳村
09,007,04,040,002,連江縣,東引鄉,樂華村
09,020,NA,000,NA,金門縣,NA,NA
09,020,01,010,001,金門縣,金城鎮,東門里
09,020,01,010,002,金門縣,金城鎮,西門里
09,020,01,010,003,金門縣,金城鎮,南門里
09,020,01,010,004,金門縣,金城鎮,北門里
09,020,01,010,005,金門縣,金城鎮,古城里
09,020,01,010,006,金門縣,金城鎮,金水里
09,020,01,010,007,金門縣,金城鎮,珠沙里
09,020,01,010,008,金門縣,金城鎮,賢庵里
09,020,02,020,001,金門縣,金沙鎮,汶沙里
09,020,02,020,002,金門縣,金沙鎮,三山里
09,020,02,020,003,金門縣,金沙鎮,大洋里
09,020,02,020,004,金門縣,金沙鎮,光前里
09,020,02,020,005,金門縣,金沙鎮,何斗里
09,020,02,020,006,金門縣,金沙鎮,西園里
09,020,02,020,007,金門縣,金沙鎮,官嶼里
09,020,02,020,008,金門縣,金沙鎮,浦山里
09,020,02,030,001,金門縣,金湖鎮,新市里
09,020,02,030,002,金門縣,金湖鎮,山外里
09,020,02,030,003,金門縣,金湖鎮,正義里
09,020,02,030,004,金門縣,金湖鎮,料羅里
09,020,02,030,005,金門縣,金湖鎮,瓊林里
09,020,02,030,006,金門縣,金湖鎮,新湖里
09,020,02,030,007,金門縣,金湖鎮,溪湖里
09,020,02,030,008,金門縣,金湖鎮,蓮庵里
09,020,01,040,001,金門縣,金寧鄉,古寧村
09,020,01,040,002,金門縣,金寧鄉,安美村
09,020,01,040,003,金門縣,金寧鄉,后盤村
09,020,01,040,004,金門縣,金寧鄉,湖埔村
09,020,01,040,005,金門縣,金寧鄉,榜林村
09,020,01,040,006,金門縣,金寧鄉,盤山村
09,020,03,050,001,金門縣,烈嶼鄉,上岐村
09,020,03,050,002,金門縣,烈嶼鄉,上林村
09,020,03,050,003,金門縣,烈嶼鄉,西口村
09,020,03,050,004,金門縣,烈嶼鄉,林湖村
09,020,03,050,005,金門縣,烈嶼鄉,黃埔村
09,020,01,060,001,金門縣,烏坵鄉,大坵村
09,020,01,060,002,金門縣,烏坵鄉,小坵村
10,002,NA,000,NA,宜蘭縣,NA,NA
10,002,01,010,001,宜蘭縣,宜蘭市,神農里
10,002,11,010,001,宜蘭縣,宜蘭市,神農里
10,002,12,010,001,宜蘭縣,宜蘭市,神農里
10,002,01,010,002,宜蘭縣,宜蘭市,民權里
10,002,11,010,002,宜蘭縣,宜蘭市,民權里
10,002,12,010,002,宜蘭縣,宜蘭市,民權里
10,002,01,010,008,宜蘭縣,宜蘭市,進士里
10,002,11,010,008,宜蘭縣,宜蘭市,進士里
10,002,12,010,008,宜蘭縣,宜蘭市,進士里
10,002,01,010,009,宜蘭縣,宜蘭市,南橋里
10,002,11,010,009,宜蘭縣,宜蘭市,南橋里
10,002,12,010,009,宜蘭縣,宜蘭市,南橋里
10,002,01,010,010,宜蘭縣,宜蘭市,建業里
10,002,11,010,010,宜蘭縣,宜蘭市,建業里
10,002,12,010,010,宜蘭縣,宜蘭市,建業里
10,002,01,010,011,宜蘭縣,宜蘭市,南津里
10,002,11,010,011,宜蘭縣,宜蘭市,南津里
10,002,12,010,011,宜蘭縣,宜蘭市,南津里
10,002,01,010,012,宜蘭縣,宜蘭市,凱旋里
10,002,11,010,012,宜蘭縣,宜蘭市,凱旋里
10,002,12,010,012,宜蘭縣,宜蘭市,凱旋里
10,002,01,010,013,宜蘭縣,宜蘭市,黎明里
10,002,11,010,013,宜蘭縣,宜蘭市,黎明里
10,002,12,010,013,宜蘭縣,宜蘭市,黎明里
10,002,01,010,014,宜蘭縣,宜蘭市,東村里
10,002,11,010,014,宜蘭縣,宜蘭市,東村里
10,002,12,010,014,宜蘭縣,宜蘭市,東村里
10,002,01,010,015,宜蘭縣,宜蘭市,延平里
10,002,11,010,015,宜蘭縣,宜蘭市,延平里
10,002,12,010,015,宜蘭縣,宜蘭市,延平里
10,002,01,010,016,宜蘭縣,宜蘭市,七張里
10,002,11,010,016,宜蘭縣,宜蘭市,七張里
10,002,12,010,016,宜蘭縣,宜蘭市,七張里
10,002,01,010,017,宜蘭縣,宜蘭市,慈安里
10,002,11,010,017,宜蘭縣,宜蘭市,慈安里
10,002,12,010,017,宜蘭縣,宜蘭市,慈安里
10,002,01,010,018,宜蘭縣,宜蘭市,新民里
10,002,11,010,018,宜蘭縣,宜蘭市,新民里
10,002,12,010,018,宜蘭縣,宜蘭市,新民里
10,002,01,010,019,宜蘭縣,宜蘭市,東門里
10,002,11,010,019,宜蘭縣,宜蘭市,東門里
10,002,12,010,019,宜蘭縣,宜蘭市,東門里
10,002,01,010,021,宜蘭縣,宜蘭市,小東里
10,002,11,010,021,宜蘭縣,宜蘭市,小東里
10,002,12,010,021,宜蘭縣,宜蘭市,小東里
10,002,01,010,022,宜蘭縣,宜蘭市,菜園里
10,002,11,010,022,宜蘭縣,宜蘭市,菜園里
10,002,12,010,022,宜蘭縣,宜蘭市,菜園里
10,002,01,010,023,宜蘭縣,宜蘭市,孝廉里
10,002,11,010,023,宜蘭縣,宜蘭市,孝廉里
10,002,12,010,023,宜蘭縣,宜蘭市,孝廉里
10,002,01,010,024,宜蘭縣,宜蘭市,新生里
10,002,11,010,024,宜蘭縣,宜蘭市,新生里
10,002,12,010,024,宜蘭縣,宜蘭市,新生里
10,002,01,010,025,宜蘭縣,宜蘭市,茭白里
