縣市,選區,行政區
臺北市,1,北投區
臺北市,1,士林區
臺北市,2,內湖區
臺北市,2,南港區
臺北市,3,松山區
臺北市,3,信義區
臺北市,4,中山區
臺北市,4,大同區
臺北市,5,中正區
臺北市,5,萬華區
臺北市,6,大安區
臺北市,6,文山區
臺北市,7,臺北市之平地原住民
臺北市,8,臺北市之山地原住民
新北市,1,石門區
新北市,1,三芝區
新北市,1,淡水區
新北市,1,八里區
新北市,2,林口區
新北市,2,五股區
新北市,2,泰山區
新北市,3,新莊區
新北市,4,蘆洲區
新北市,4,三重區
新北市,5,板橋區
新北市,6,中和區
新北市,7,永和區
新北市,8,樹林區
新北市,8,鶯歌區
新北市,8,土城區
新北市,8,三峽區
新北市,9,新店區
新北市,9,深坑區
新北市,9,石碇區
新北市,9,坪林區
新北市,9,烏來區
新北市,10,平溪區
新北市,10,瑞芳區
新北市,10,雙溪區
新北市,10,貢寮區
新北市,11,金山區
新北市,11,萬里區
新北市,11,汐止區
新北市,12,新北市之平地原住民
新北市,13,新北市之山地原住民
桃園市,1,桃園區
桃園市,2,龜山區
桃園市,3,八德區
桃園市,4,蘆竹區
桃園市,5,大園區
桃園市,6,大溪區
桃園市,6,復興區
桃園市,7,中壢區
桃園市,8,平鎮區
桃園市,9,楊梅區
桃園市,10,龍潭區
桃園市,11,新屋區
桃園市,12,觀音區
桃園市,13,桃園市之平地原住民
桃園市,14,桃園市之山地原住民
臺中市,1,大甲區
臺中市,1,大安區
臺中市,1,外埔區
臺中市,2,清水區
臺中市,2,梧棲區
臺中市,2,沙鹿區
臺中市,3,龍井區
臺中市,3,大肚區
臺中市,3,烏日區
臺中市,4,后里區
臺中市,4,豐原區
臺中市,5,神岡區
臺中市,5,大雅區
臺中市,5,潭子區
臺中市,6,西屯區
臺中市,7,南屯區
臺中市,8,北屯區
臺中市,9,北區
臺中市,10,中區
臺中市,10,西區
臺中市,11,東區
臺中市,11,南區
臺中市,12,太平區
臺中市,13,大里區
臺中市,13,霧峰區
臺中市,14,東勢區
臺中市,14,石岡區
臺中市,14,新社區
