prvCode,cityCode,areaCode,deptCode,liCode,tboxNo,candNo,tks,candVictor,tksRate,投票數,選舉人數
09,007,NA,NA,NA,NA,1,586, ,6.89,8620,11810
09,007,NA,NA,NA,NA,2,3582, ,42.12,8620,11810
09,007,NA,NA,NA,NA,3,4337,*,50.99,8620,11810
09,007,NA,010,NA,NA,1,301, ,6.65,4579,6466
09,007,NA,010,NA,NA,2,1952, ,43.15,4579,6466
09,007,NA,010,NA,NA,3,2271,*,50.2,4579,6466
09,007,NA,020,NA,NA,1,119, ,5.79,2089,2745
09,007,NA,020,NA,NA,2,806, ,39.18,2089,2745
09,007,NA,020,NA,NA,3,1132,*,55.03,2089,2745
09,007,NA,030,NA,NA,1,61, ,6.37,969,1321
09,007,NA,030,NA,NA,2,418, ,43.68,969,1321
09,007,NA,030,NA,NA,3,478,*,49.95,969,1321
09,007,NA,040,NA,NA,1,105, ,10.86,983,1278
09,007,NA,040,NA,NA,2,406, ,41.99,983,1278
09,007,NA,040,NA,NA,3,456,*,47.16,983,1278
09,020,NA,NA,NA,NA,1,3459, ,7.34,48089,122294
09,020,NA,NA,NA,NA,2,174, ,0.37,48089,122294
09,020,NA,NA,NA,NA,3,141, ,0.3,48089,122294
09,020,NA,NA,NA,NA,4,19340, ,41.05,48089,122294
09,020,NA,NA,NA,NA,5,23248,*,49.34,48089,122294
09,020,NA,NA,NA,NA,6,752, ,1.6,48089,122294
09,020,NA,010,NA,NA,1,773, ,5.47,14439,36571
09,020,NA,010,NA,NA,2,53, ,0.38,14439,36571
09,020,NA,010,NA,NA,3,45, ,0.32,14439,36571
09,020,NA,010,NA,NA,4,6810, ,48.23,14439,36571
09,020,NA,010,NA,NA,5,6175,*,43.74,14439,36571
09,020,NA,010,NA,NA,6,263, ,1.86,14439,36571
09,020,NA,020,NA,NA,1,897, ,12.62,7232,18375
09,020,NA,020,NA,NA,2,18, ,0.25,7232,18375
09,020,NA,020,NA,NA,3,12, ,0.17,7232,18375
09,020,NA,020,NA,NA,4,2008, ,28.26,7232,18375
09,020,NA,020,NA,NA,5,4098,*,57.68,7232,18375
09,020,NA,020,NA,NA,6,72, ,1.01,7232,18375
09,020,NA,030,NA,NA,1,878, ,8.23,10863,26418
09,020,NA,030,NA,NA,2,46, ,0.43,10863,26418
09,020,NA,030,NA,NA,3,22, ,0.21,10863,26418
09,020,NA,030,NA,NA,4,3574, ,33.5,10863,26418
09,020,NA,030,NA,NA,5,6021,*,56.44,10863,26418
09,020,NA,030,NA,NA,6,127, ,1.19,10863,26418
09,020,NA,040,NA,NA,1,788, ,7.27,11105,28944
09,020,NA,040,NA,NA,2,49, ,0.45,11105,28944
