prvCode,cityCode,areaCode,deptCode,liCode,tboxNo,candNo,tks,candVictor,tksRate,投票數,選舉人數
09,007,NA,010,001,NA,1,508, ,37.97,1385,1906
09,007,NA,010,001,NA,2,830,*,62.03,1385,1906
09,007,NA,010,002,NA,1,528,*,100,631,881
09,007,NA,010,003,NA,1,266, ,49.35,560,817
09,007,NA,010,003,NA,2,273,*,50.65,560,817
09,007,NA,010,004,NA,1,543,*,74.49,748,987
09,007,NA,010,004,NA,2,186, ,25.51,748,987
09,007,NA,010,005,NA,1,321,*,100,350,565
09,007,NA,010,006,NA,1,258,*,100,284,399
09,007,NA,010,007,NA,1,290,*,100,326,470
09,007,NA,010,008,NA,1,152,*,100,166,271
09,007,NA,010,009,NA,1,100,*,100,111,153
09,007,NA,020,001,NA,1,782,*,100,886,1149
09,007,NA,020,002,NA,1,147,*,100,165,216
09,007,NA,020,003,NA,1,174,*,48.88,364,459
09,007,NA,020,003,NA,2,81, ,22.75,364,459
09,007,NA,020,003,NA,3,101, ,28.37,364,459
09,007,NA,020,004,NA,1,144,*,58.78,260,395
09,007,NA,020,004,NA,2,101, ,41.22,260,395
09,007,NA,020,005,NA,1,258,*,100,276,360
09,007,NA,020,006,NA,1,59,*,46.09,131,160
09,007,NA,020,006,NA,2,54, ,42.19,131,160
09,007,NA,020,006,NA,3,15, ,11.72,131,160
09,007,NA,030,001,NA,1,209,*,100,254,345
09,007,NA,030,002,NA,1,116,*,100,142,194
09,007,NA,030,003,NA,1,51,*,100,53,94
09,007,NA,030,004,NA,1,122,*,100,145,202
09,007,NA,030,005,NA,1,222,*,60.99,374,482
09,007,NA,030,005,NA,2,142, ,39.01,374,482
09,007,NA,040,001,NA,1,197, ,45.08,452,578
09,007,NA,040,001,NA,2,240,*,54.92,452,578
09,007,NA,040,002,NA,1,314,*,61.81,530,698
09,007,NA,040,002,NA,2,194, ,38.19,530,698
09,020,NA,010,001,NA,1,882, ,43.66,2073,4684
09,020,NA,010,001,NA,2,1138,*,56.34,2073,4684
09,020,NA,010,002,NA,1,1614, ,45.75,3655,9194
09,020,NA,010,002,NA,2,1914,*,54.25,3655,9194
09,020,NA,010,003,NA,1,894,*,45.06,2042,5165
09,020,NA,010,003,NA,2,738, ,37.2,2042,5165
09,020,NA,010,003,NA,3,352, ,17.74,2042,5165
09,020,NA,010,004,NA,1,1339,*,100,1435,3738
09,020,NA,010,005,NA,1,208, ,14.21,1508,3940
09,020,NA,010,005,NA,2,350, ,23.91,1508,3940
09,020,NA,010,005,NA,3,906,*,61.89,1508,3940
09,020,NA,010,006,NA,1,130, ,15.01,901,2200
09,020,NA,010,006,NA,2,346,*,39.95,901,2200
09,020,NA,010,006,NA,3,248, ,28.64,901,2200
09,020,NA,010,006,NA,4,142, ,16.4,901,2200
09,020,NA,010,007,NA,1,854,*,100,1007,2824
09,020,NA,010,008,NA,1,1456,*,83.97,1772,4674
09,020,NA,010,008,NA,2,278, ,16.03,1772,4674
09,020,NA,020,001,NA,1,1775,*,100,1927,4922
09,020,NA,020,002,NA,1,237, ,35.8,674,1890
09,020,NA,020,002,NA,2,425,*,64.2,674,1890
09,020,NA,020,003,NA,1,287,*,55.19,534,1148
