年份,政黨分類,政黨得票率,政黨催票率
2014,民主進步黨,36.17,24.47
2014,其他政黨,5.86,3.97
2014,無黨籍,19.56,13.24
2014,中國國民黨,35.95,24.33
2018,民主進步黨,30.12,20.18
2018,其他政黨,4.66,3.12
2018,時代力量,2.42,1.62
2018,無黨籍,20.62,13.82
2018,中國國民黨,39.18,26.25
2020-立委,民主進步黨,44.33,33.21
2020-立委,其他政黨,11.11,8.32
2020-立委,時代力量,0.99,0.74
2020-立委,台灣民眾黨,1.84,1.38
2020-立委,中國國民黨,40.01,29.98
2020-政黨票,民主進步黨,99.84,74.74
2020-政黨票,其他政黨,40.23,30.11
2020-政黨票,時代力量,22.79,17.06
2020-政黨票,台灣民眾黨,32.97,24.68
2020-政黨票,中國國民黨,98.02,73.38
2022,民主進步黨,25.01,16.94
2022,其他政黨,6.81,4.61
2022,時代力量,3.08,2.09
2022,台灣民眾黨,5.83,3.95
2022,無黨籍,26.86,18.19
2022,中國國民黨,25.96,17.58
